vin,event_type,count(timestamp)
1FMCU0J93FUA46630,display,1
1FMCU0J93FUA46630,visit,5
1FMCU93136KA24196,display,2
1FMCU93136KA24196,show,1
1FMCU93136KA24196,visit,4
1FMCU93Z88KC62540,display,6
1FMCU93Z88KC62540,visit,10
1FMCU9EG0AKD41802,display,2
1FMCU9EG0AKD41802,show,2
1FMCU9EG0AKD41802,visit,9
1FMCU9GX3EUE21540,display,1
1FMCU9GX3EUE21540,show,7
1FMCU9GX3EUE21540,visit,2
1FMDK02145GA37595,click,1
1FMDK02145GA37595,display,1
1FMDK02145GA37595,visit,18
1FMDU74E5YZB15264,click,1
1FMDU74E5YZB15264,display,1
1FMDU74E5YZB15264,show,2
1FMDU74E5YZB15264,visit,1
1FMEU15H0SLA03413,display,2
1FMEU15H0SLA03413,show,1
1FMEU15H0SLA03413,visit,6
1FMEU53807UA02791,click,3
1FMEU53807UA02791,display,1
1FMEU53807UA02791,visit,3
1FMEU7EE3AUA35287,click,6
1FMEU7EE3AUA35287,display,1
1FMEU7EE3AUA35287,show,3
1FMEU7EE3AUA35287,visit,9
1FMFU17508LA61294,display,1
1FMFU17508LA61294,show,3
1FMFU17508LA61294,visit,8
1FMFU18L21LA02525,display,1
1FMFU18L21LA02525,visit,3
1FMHK8D8XBGA06762,display,1
1FMHK8D8XBGA06762,show,3
1FMHK8D8XBGA06762,visit,7
1FMJK1J51EEF48044,display,1
1FMJK1J51EEF48044,show,7
1FMJK1J51EEF48044,visit,5
1FMJU1HT2FEF25310,display,1
1FMJU1HT2FEF25310,show,1
1FMJU1HT2FEF25310,visit,7
1FMNU41LX1EB17661,display,1
1FMNU41LX1EB17661,show,2
1FMNU41LX1EB17661,visit,3
1FMNU42F11EA73509,click,7
1FMNU42F11EA73509,display,1
1FMNU42F11EA73509,visit,5
1FMSU43P25EA44696,display,1
1FMSU43P25EA44696,show,1
1FMSU43P25EA44696,visit,2
1FMSU43P55EB52925,display,1
1FMSU43P55EB52925,show,1
1FMSU43P55EB52925,visit,6
1FMYU03125KA33438,display,1
1FMYU03125KA33438,visit,5
1FMYU60E43UA49314,display,2
1FMYU60E43UA49314,show,3
1FMYU60E43UA49314,visit,5
1FMYU92153KA41603,click,1
1FMYU92153KA41603,display,3
1FMYU92153KA41603,show,1
1FMYU92153KA41603,visit,12
1FMZK01126GA03843,display,2
1FMZK01126GA03843,visit,1
1FMZK02156GA37368,click,1
1FMZK02156GA37368,display,2
1FMZK02156GA37368,visit,25
1FMZK02186GA11976,click,4
1FMZK02186GA11976,display,1
1FMZK02186GA11976,show,1
1FMZK02186GA11976,visit,6
1FMZK06135GA13708,display,1
1FMZK06135GA13708,visit,8
1FMZU62K64UA12872,click,1
1FMZU62K64UA12872,display,1
1FMZU62K64UA12872,visit,7
1FMZU63E42ZB40522,click,2
1FMZU63E42ZB40522,display,1
1FMZU63E42ZB40522,show,3
1FMZU63E42ZB40522,visit,8
1FMZU67E22UD53296,display,1
1FMZU67E22UD53296,visit,2
1FMZU67K94UB59888,display,1
1FMZU67K94UB59888,visit,3
1FMZU72E72UC12611,display,1
1FMZU72E72UC12611,show,2
1FMZU72E72UC12611,visit,5
1FMZU73WX4UC30756,click,1
1FMZU73WX4UC30756,display,2
1FMZU73WX4UC30756,visit,9
1FMZU77E53UC58769,display,1
1FMZU77E53UC58769,visit,3
1FMZU77E81UB40048,display,1
1FMZU77E81UB40048,show,2
1FMZU77E81UB40048,visit,7
1FT7W2BT1GEA19749,display,8
1FT7W2BT1GEA19749,visit,14
1FT7W2BT9DEB58992,display,1
1FT7W2BT9DEB58992,show,6
1FT7W2BT9DEB58992,visit,3
1FT8W3BT7DEA13797,display,1
1FT8W3BT7DEA13797,visit,11
1FTCR14U3PPA81373,display,3
1FTCR14U3PPA81373,show,6
1FTCR14U3PPA81373,visit,13
1FTEW1CM1EFB62720,display,1
1FTEW1CM1EFB62720,show,3
1FTEW1CM1EFB62720,visit,1
1FTEW1EG5GFA87191,display,2
1FTEW1EG5GFA87191,visit,2
1FTEX1EM1BKD77169,display,1
1FTEX1EM1BKD77169,visit,1
1FTFW1CF7CFC23135,display,1
1FTFW1CF7CFC23135,visit,1
1FTFW1CV2AKB23049,display,1
1FTFW1CV2AKB23049,visit,7
1FTFW1EF7DFB93018,display,6
1FTFW1EF7DFB93018,show,1
1FTFW1EF7DFB93018,visit,10
1FTFW1ETXEFA98783,display,1
1FTFW1ETXEFA98783,show,3
1FTFW1ETXEFA98783,visit,3
1FTKR1ED3APA70469,display,1
1FTKR1ED3APA70469,show,6
1FTKR1ED3APA70469,visit,4
1FTMF1CW6AKB22714,display,1
1FTMF1CW6AKB22714,visit,1
1FTNX21P03EC49141,display,1
1FTNX21P03EC49141,visit,3
1FTPW12536KB51763,display,1
1FTPW12536KB51763,show,8
1FTPW12536KB51763,visit,13
1FTPW12V89FA74949,display,1
1FTPW12V89FA74949,show,1
1FTPW12V89FA74949,visit,2
1FTPW14574KC30556,display,1
1FTPW14574KC30556,visit,1
1FTPW14575KE84110,display,1
1FTPW14575KE84110,visit,1
1FTPW14V36FB27968,display,1
1FTPW14V36FB27968,show,2
1FTPW14V36FB27968,visit,1
1FTPX12544NA83904,display,1
1FTPX12544NA83904,visit,5
1FTPX12V57FA55754,display,1
1FTPX12V57FA55754,show,1
1FTPX12V57FA55754,visit,3
1FTPX14534NC11661,display,1
1FTPX14534NC11661,show,1
1FTPX14534NC11661,visit,5
1FTPX14V18FA69794,display,1
1FTPX14V18FA69794,show,2
1FTPX14V18FA69794,visit,7
1FTRE14212HA94937,show,1
1FTRE14212HA94937,visit,3
1FTRF12W19KB73413,display,1
1FTRF12W19KB73413,visit,5
1FTRW07L53KB98976,click,4
1FTRW07L53KB98976,display,4
1FTRW07L53KB98976,visit,16
1FTRW08L13KB99363,click,4
1FTRW08L13KB99363,display,1
1FTRW08L13KB99363,show,2
1FTRW08L13KB99363,visit,9
1FTRW12W88KB22215,display,1
1FTRW12W88KB22215,show,15
1FTRW12W88KB22215,visit,5
1FTRX17262NB28751,click,1
1FTRX17262NB28751,display,2
1FTRX17262NB28751,show,4
1FTRX17262NB28751,visit,10
1FTRX17L6XNA17150,click,2
1FTRX17L6XNA17150,display,1
1FTRX17L6XNA17150,show,3
1FTRX17L6XNA17150,visit,7
1FTSW20508EE04753,display,1
1FTSW20508EE04753,show,1
1FTSW20508EE04753,visit,1
1FTSW21P06EC41003,click,2
1FTSW21P06EC41003,display,2
1FTSW21P06EC41003,show,11
1FTSW21P06EC41003,visit,14
1FTWW33P26EB11387,show,2
1FTWW33P26EB11387,visit,1
1FTWW33R88EB50375,display,4
1FTWW33R88EB50375,visit,4
1FTWW33RX8EC60957,display,1
1FTWW33RX8EC60957,visit,8
1FTWX33517EA86348,display,1
1FTWX33517EA86348,visit,2
1FTYR14U02PA54517,display,1
1FTYR14U02PA54517,show,2
1FTYR14U02PA54517,visit,3
1FTYR14U96PA37088,display,1
1FTYR14U96PA37088,show,4
1FTYR14U96PA37088,visit,4
1FTYR44U97PA78579,display,1
1FTYR44U97PA78579,show,2
1FTYR44U97PA78579,visit,4
1FTYR44V63TA38986,click,2
1FTYR44V63TA38986,show,6
1FTYR44V63TA38986,visit,3
1FTZR15U0WTA48572,display,1
1FTZR15U0WTA48572,visit,3
1FTZX1720YNC14341,display,2
1FTZX1720YNC14341,visit,2
1G1125S36FU120897,display,4
1G1125S36FU120897,visit,4
1G11A5SAXDF335153,display,2
1G11A5SAXDF335153,show,4
1G11A5SAXDF335153,visit,6
1G11B5SL9EF159065,display,2
1G11B5SL9EF159065,visit,6
1G11C5SA0GF144484,display,2
1G11C5SA0GF144484,visit,2
1G11C5SA0GF159812,display,15
1G11C5SA0GF159812,visit,21
1G11C5SA1GF151332,display,2
1G11C5SA1GF151332,visit,2
1G11C5SA2DF353737,display,1
1G11C5SA2DF353737,visit,3
1G11C5SA2GF146110,display,2
1G11C5SA2GF146110,visit,2
1G11C5SA5GF140513,display,2
1G11C5SA5GF140513,visit,6
1G11C5SA5GF156369,display,1
1G11C5SA5GF156369,visit,1
1G11C5SA9GF144466,display,2
1G11C5SA9GF144466,visit,6
1G11C5SL5EF219758,click,3
1G11C5SL5EF219758,display,3
1G11C5SL5EF219758,show,1
1G11C5SL5EF219758,visit,18
1G11C5SL9FF303681,display,2
1G11C5SL9FF303681,visit,2
1G11D5SL3FF257942,display,2
1G11D5SL3FF257942,visit,2
1G11E5SA3GF140553,display,9
1G11E5SA3GF140553,visit,9
1G11E5SA5GF155278,display,8
1G11E5SA5GF155278,visit,8
1G1AD5F55A7144718,display,1
1G1AD5F55A7144718,show,8
1G1AD5F55A7144718,visit,9
1G1AK18F767633570,display,1
1G1AK18F767633570,visit,5
1G1AK55F467626085,display,1
1G1AK55F467626085,visit,3
1G1AK55F667642935,display,1
1G1AK55F667642935,visit,5
1G1AL58FX87229265,display,1
1G1AL58FX87229265,show,4
1G1AL58FX87229265,visit,7
1G1AT58H797200129,click,1
1G1AT58H797200129,display,1
1G1AT58H797200129,show,2
1G1AT58H797200129,visit,21
1G1BL82P4TR100149,show,2
1G1BL82P4TR100149,visit,9
1G1PC5SB3F7145236,display,2
1G1PC5SB3F7145236,visit,6
1G1PC5SH4G7210469,display,8
1G1PC5SH4G7210469,visit,10
1G1PC5SH5C7370287,display,1
1G1PC5SH5C7370287,show,2
1G1PC5SH5C7370287,visit,6
1G1PD5SH2C7206427,click,1
1G1PD5SH2C7206427,display,1
1G1PD5SH2C7206427,visit,5
1G1PE5SB9F7122750,display,1
1G1PE5SB9F7122750,show,18
1G1PE5SB9F7122750,visit,26
1G1PE5SB9G7125455,display,2
1G1PE5SB9G7125455,visit,2
1G1PF5SB1G7122949,display,4
1G1PF5SB1G7122949,visit,4
1G1PF5SB6G7102583,display,10
1G1PF5SB6G7102583,visit,10
1G1PF5SB8G7124469,display,2
1G1PF5SB8G7124469,visit,2
1G1PG5SB4G7107813,display,6
1G1PG5SB4G7107813,visit,6
1G1PG5SB6G7105447,display,5
1G1PG5SB6G7105447,visit,7
1G1PK5S92B7281657,display,10
1G1PK5S92B7281657,visit,10
1G1YF2DWXC5107861,click,3
1G1YF2DWXC5107861,display,1
1G1YF2DWXC5107861,show,4
1G1YF2DWXC5107861,visit,9
1G1YY0786F5136662,display,1
1G1YY0786F5136662,visit,8
1G1YY2186H5128519,click,4
1G1YY2186H5128519,display,2
1G1YY2186H5128519,show,9
1G1YY2186H5128519,visit,13
1G1YY2189J5113504,display,1
1G1YY2189J5113504,visit,3
1G1YY22G0X5131601,click,4
1G1YY22G0X5131601,display,1
1G1YY22G0X5131601,show,6
1G1YY22G0X5131601,visit,4
1G1YY22G1V5104887,show,1
1G1YY22G1V5104887,visit,3
1G1YY22G615124854,display,2
1G1YY22G615124854,show,2
1G1YY22G615124854,visit,10
1G1YY2385L5111782,display,1
1G1YY2385L5111782,show,1
1G1YY2385L5111782,visit,6
1G1YY25W595111026,display,1
1G1YY25W595111026,show,2
1G1YY25W595111026,visit,1
1G1YY26W385117100,display,6
1G1YY26W385117100,visit,6
1G1YY32G3X5116824,click,2
1G1YY32G3X5116824,display,1
1G1YY32G3X5116824,show,3
1G1YY32G3X5116824,visit,4
1G1YY36U775123520,display,1
1G1YY36U775123520,show,4
1G1YY36U775123520,visit,9
1G1YY36U965110511,display,1
1G1YY36U965110511,show,1
1G1YY36U965110511,visit,2
1G1YY36W085103466,click,8
1G1YY36W085103466,display,1
1G1YY36W085103466,visit,6
1G1YY36W795200004,display,1
1G1YY36W795200004,show,1
1G1YY36W795200004,visit,1
1G1YZ23J0L5802041,display,1
1G1YZ23J0L5802041,show,2
1G1YZ23J0L5802041,visit,3
1G1ZC5E02CF343858,display,12
1G1ZC5E02CF343858,show,4
1G1ZC5E02CF343858,visit,13
1G1ZC5EB9AF276402,display,1
1G1ZC5EB9AF276402,show,7
1G1ZC5EB9AF276402,visit,2
1G1ZD5E01CF192508,click,4
1G1ZD5E01CF192508,display,2
1G1ZD5E01CF192508,show,1
1G1ZD5E01CF192508,visit,16
1G1ZE5E18BF292853,display,1
1G1ZE5E18BF292853,visit,5
1G1ZG57B28F169381,click,1
1G1ZG57B28F169381,display,2
1G1ZG57B28F169381,visit,16
1G1ZG57B69F105989,click,1
1G1ZG57B69F105989,display,1
1G1ZG57B69F105989,show,2
1G1ZG57B69F105989,visit,6
1G1ZG57BX8F164428,display,1
1G1ZG57BX8F164428,show,3
1G1ZG57BX8F164428,visit,3
1G1ZJ57B89F187905,display,12
1G1ZJ57B89F187905,visit,12
1G1ZT52865F231898,display,1
1G1ZT52865F231898,visit,5
1G1ZT538X6F172581,click,3
1G1ZT538X6F172581,display,2
1G1ZT538X6F172581,show,4
1G1ZT538X6F172581,visit,6
1G1ZW63116F115766,display,1
1G1ZW63116F115766,visit,9
1G2AL15F577216205,display,1
1G2AL15F577216205,show,3
1G2AL15F577216205,visit,3
1G2AS18H597158325,click,3
1G2AS18H597158325,show,8
1G2AS18H597158325,visit,10
1G2MB33B26Y000977,display,1
1G2MB33B26Y000977,show,21
1G2MB33B26Y000977,visit,11
1G2ZG528854112987,display,1
1G2ZG528854112987,visit,2
1G2ZG57B094216545,display,1
1G2ZG57B094216545,show,7
1G2ZG57B094216545,visit,5
1G2ZH578564112646,display,1
1G2ZH578564112646,show,2
1G2ZH578564112646,visit,2
1G4CW52K9W4617210,click,5
1G4CW52K9W4617210,display,1
1G4CW52K9W4617210,show,6
1G4CW52K9W4617210,visit,3
1G4CW54K324235309,display,1
1G4CW54K324235309,show,1
1G4CW54K324235309,visit,3
1G4GB5G31GF141197,display,4
1G4GB5G31GF141197,visit,4
1G4GB5G35GF138206,display,2
1G4GB5G35GF138206,visit,2
1G4GB5G3XEF175202,display,4
1G4GB5G3XEF175202,visit,10
1G4GB5G3XGF139951,display,6
1G4GB5G3XGF139951,visit,10
1G4GC5E33DF222892,display,4
1G4GC5E33DF222892,visit,12
1G4GC5ECXBF342007,display,9
1G4GC5ECXBF342007,visit,9
1G4GD5E38CF145920,display,4
1G4GD5E38CF145920,visit,10
1G4GF5E31CF139872,display,2
1G4GF5E31CF139872,visit,5
1G4HC5EM9AU118850,display,2
1G4HC5EM9AU118850,visit,5
1G4HD57207U151611,display,1
1G4HD57207U151611,show,1
1G4HD57207U151611,visit,3
1G4HP52K544169211,display,1
1G4HP52K544169211,visit,11
1G4PP5SK0D4252038,display,2
1G4PP5SK0D4252038,visit,2
1G4PP5SK3D4117054,display,2
1G4PP5SK3D4117054,visit,2
1G4PP5SK9E4136600,display,4
1G4PP5SK9E4136600,visit,8
1G6AB5RX6G0122032,display,2
1G6AB5RX6G0122032,visit,2
1G6AP5SX0E0155746,display,1
1G6AP5SX0E0155746,show,8
1G6AP5SX0E0155746,visit,3
1G6DJ1E37D0109720,display,4
1G6DJ1E37D0109720,visit,4
1G6DM57N730117800,display,1
1G6DM57N730117800,show,8
1G6DM57N730117800,visit,9
1G6DM57T860213079,display,1
1G6DM57T860213079,show,2
1G6DM57T860213079,visit,2
1G6DM57TX60205842,click,1
1G6DM57TX60205842,display,1
1G6DM57TX60205842,visit,6
1G6DP567750193949,click,2
1G6DP567750193949,display,1
1G6DP567750193949,visit,5
1G6DW677770125094,click,2
1G6DW677770125094,display,2
1G6DW677770125094,show,3
1G6DW677770125094,visit,10
1G6KD52B5RU212426,click,1
1G6KD52B5RU212426,display,1
1G6KD52B5RU212426,show,3
1G6KD52B5RU212426,visit,8
1G6KD54Y65U167198,display,1
1G6KD54Y65U167198,visit,6
1G6KS54Y52U274499,display,1
1G6KS54Y52U274499,visit,9
1G6KY5497XU942205,display,1
1G6KY5497XU942205,visit,1
1G8AZ52F83Z134709,display,1
1G8AZ52F83Z134709,show,8
1G8AZ52F83Z134709,visit,5
1G8JU54F22Y506206,click,1
1G8JU54F22Y506206,display,2
1G8JU54F22Y506206,show,9
1G8JU54F22Y506206,visit,16
1G8ZS57N17F290072,display,1
1G8ZS57N17F290072,show,2
1G8ZS57N17F290072,visit,2
1GAZG1FG6F1231977,visit,2
1GAZG1FGXF1123927,display,6
1GAZG1FGXF1123927,visit,6
1GC1KUEG5FF164524,click,4
1GC1KUEG5FF164524,display,1
1GC1KUEG5FF164524,show,6
1GC1KUEG5FF164524,visit,9
1GC1KYC8XBF192896,display,4
1GC1KYC8XBF192896,visit,4
1GC2KUEG9GZ131885,display,2
1GC2KUEG9GZ131885,visit,2
1GC4K1C82BF113757,display,1
1GC4K1C82BF113757,show,2
1GC4K1C82BF113757,visit,1
1GCCS19XX38145436,display,1
1GCCS19XX38145436,show,11
1GCCS19XX38145436,visit,7
1GCCSBDE2A8137081,display,2
1GCCSBDE2A8137081,show,4
1GCCSBDE2A8137081,visit,13
1GCCSCF9XB8129754,display,1
1GCCSCF9XB8129754,show,5
1GCCSCF9XB8129754,visit,3
1GCEC14V86Z280716,display,1
1GCEC14V86Z280716,show,1
1GCEC14V86Z280716,visit,7
1GCEC14X37Z176119,display,1
1GCEC14X37Z176119,visit,5
1GCEC19X29Z269922,display,1
1GCEC19X29Z269922,show,2
1GCEC19X29Z269922,visit,7
1GCEK19T13E360128,display,2
1GCEK19T13E360128,show,6
1GCEK19T13E360128,visit,6
1GCEK19T73E208659,click,3
1GCEK19T73E208659,display,2
1GCEK19T73E208659,visit,8
1GCEK19Z47E103667,display,1
1GCEK19Z47E103667,show,4
1GCEK19Z47E103667,visit,7
1GCFG25T931219722,display,1
1GCFG25T931219722,show,1
1GCFG25T931219722,visit,7
1GCHK23214F222121,click,2
1GCHK23214F222121,display,1
1GCHK23214F222121,visit,5
1GCHK23698F158340,display,1
1GCHK23698F158340,visit,3
1GCHK29152E109791,click,2
1GCHK29152E109791,display,1
1GCHK29152E109791,visit,5
1GCHSDFE5B8117990,display,4
1GCHSDFE5B8117990,show,3
1GCHSDFE5B8117990,visit,12
1GCNCPEH2EZ195056,display,2
1GCNCPEH2EZ195056,visit,2
1GCNCPEX2BZ391100,display,2
1GCNCPEX2BZ391100,visit,2
1GCRCPEH4EZ170919,display,12
1GCRCPEH4EZ170919,visit,12
1GKDS13S452205741,display,1
1GKDS13S452205741,show,3
1GKDS13S452205741,visit,3
1GKDT13S632225287,display,1
1GKDT13S632225287,visit,5
1GKEK13T34J103462,display,1
1GKEK13T34J103462,show,1
1GKEK13T34J103462,visit,7
1GKER23718J274902,display,1
1GKER23718J274902,visit,1
1GKES16S156158273,display,1
1GKES16S156158273,show,2
1GKES16S156158273,visit,7
1GKEV33777J103300,display,1
1GKEV33777J103300,show,2
1GKEV33777J103300,visit,7
1GKFC16057J262412,display,1
1GKFC16057J262412,show,5
1GKFC16057J262412,visit,2
1GKFC33J99R205465,display,1
1GKFC33J99R205465,show,1
1GKFC33J99R205465,visit,3
1GKFK13008J105671,display,1
1GKFK13008J105671,show,3
1GKFK13008J105671,visit,7
1GKFK63847J162974,display,1
1GKFK63847J162974,show,1
1GKFK63847J162974,visit,7
1GKFK638X8J223858,click,1
1GKFK638X8J223858,display,1
1GKFK638X8J223858,show,2
1GKFK638X8J223858,visit,11
1GKKRPED1BJ259407,display,1
1GKKRPED1BJ259407,visit,1
1GKKRPKD0FJ366443,display,18
1GKKRPKD0FJ366443,visit,24
1GKKRPKD1FJ329059,display,4
1GKKRPKD1FJ329059,visit,4
1GKKRPKD2EJ193037,display,2
1GKKRPKD2EJ193037,visit,2
1GKKRPKD4FJ329444,display,4
1GKKRPKD4FJ329444,visit,4
1GKKRPKDXFJ325818,display,10
1GKKRPKDXFJ325818,visit,13
1GKKRRKD3GJ136263,display,18
1GKKRRKD3GJ136263,visit,30
1GKKRRKD8GJ154242,click,1
1GKKRRKD8GJ154242,display,1
1GKKRRKD8GJ154242,show,1
1GKKRRKD8GJ154242,visit,6
1GKKVRKD0DJ156333,click,1
1GKKVRKD0DJ156333,display,2
1GKKVRKD0DJ156333,show,10
1GKKVRKD0DJ156333,visit,11
1GKKVSED6CJ314580,visit,1
1GKKVTED2BJ371010,display,4
1GKKVTED2BJ371010,visit,5
1GKS2CE05ER181259,click,1
1GKS2CE05ER181259,display,1
1GKS2CE05ER181259,show,4
1GKS2CE05ER181259,visit,6
1GKS2KE75DR352727,display,2
1GKS2KE75DR352727,visit,2
1GKUKMEF1AR208678,click,1
1GKUKMEF1AR208678,display,1
1GKUKMEF1AR208678,show,5
1GKUKMEF1AR208678,visit,2
1GMDU06E1XD312514,display,1
1GMDU06E1XD312514,visit,7
1GNDT13S552250333,display,1
1GNDT13S552250333,show,4
1GNDT13S552250333,visit,5
1GNEC13V25R253079,display,1
1GNEC13V25R253079,show,1
1GNEC13V25R253079,visit,2
1GNEC23369R235226,click,1
1GNEC23369R235226,display,2
1GNEC23369R235226,visit,8
1GNEK13047R101699,visit,1
1GNEK13Z12R281277,click,3
1GNEK13Z12R281277,display,1
1GNEK13Z12R281277,show,1
1GNEK13Z12R281277,visit,4
1GNES16S366122380,click,7
1GNES16S366122380,display,1
1GNES16S366122380,show,1
1GNES16S366122380,visit,5
1GNES16S956187121,click,2
